score,N,baseline,difference,ci_low,ci_high,subjects
LAC,120,HG,0.06416666666666673,0.056697530864197564,0.07250000000000008,9
LAC,120,CS_beta_9_1,0.10435185185185195,0.09574074074074082,0.11398148148148161,9
LAC,120,CS_uniform,0.13907407407407418,0.12759259259259265,0.15203858024691372,9
LAC,240,HG,0.05449074074074072,0.05089506172839502,0.058503086419753075,9
LAC,240,CS_beta_9_1,0.08893518518518517,0.08521604938271604,0.0923460648148148,9
LAC,240,CS_uniform,0.1338888888888889,0.12671296296296297,0.14151234567901233,9
APS,120,HG,0.0605555555555556,0.053796296296296335,0.06746913580246917,9
APS,120,CS_beta_9_1,0.10046296296296302,0.09046296296296302,0.11061728395061733,9
APS,120,CS_uniform,0.13351851851851856,0.11947530864197536,0.14706790123456792,9
APS,240,HG,0.05717592592592594,0.05108024691358028,0.06314814814814818,9
APS,240,CS_beta_9_1,0.09916666666666674,0.09083333333333339,0.10774729938271614,9
APS,240,CS_uniform,0.14004629629629636,0.1274228395061729,0.1529170524691359,9
