dataset,score,control,metric,mean,lower,upper,subjects
dsads,APS,full_reference,saving,0.47715893356615696,0.4494231040208514,0.5035068107237073,8
dsads,APS,full_reference,coverage,-0.0073347718181523,-0.012716177449304715,-0.001758789850330738,8
dsads,APS,full_reference,shortfall,0.009396714222039875,0.004484611237647571,0.014150622161147831,8
dsads,APS,full_reference,size_fraction,0.0028510254695718745,-0.002069228228160199,0.008837769661906754,8
dsads,APS,deterministic,saving,0.28085997728313183,0.2549610753672434,0.30320532936705846,8
dsads,APS,deterministic,coverage,-0.007680889934624027,-0.01224579408867095,-0.003317329549037115,8
dsads,APS,deterministic,shortfall,0.009485575698648066,0.005206597017581156,0.013773520300717752,8
dsads,APS,deterministic,size_fraction,0.0016449246941730236,-0.001725350548789817,0.005984215968428672,8
dsads,APS,two_plan,saving,0.14127333070924192,0.12981194176725103,0.15274258552097772,8
dsads,APS,two_plan,coverage,-0.0029968996313865237,-0.00445019907155818,-0.0018204861737578563,8
dsads,APS,two_plan,shortfall,0.003906294716602732,0.002383909532010993,0.005336661770786597,8
dsads,APS,two_plan,size_fraction,0.0022305883971762766,0.0005621585309323439,0.004177208987952438,8
dsads,APS,restricted_b4,saving,0.100348140492289,0.08114612395812322,0.11826022215557196,8
dsads,APS,restricted_b4,coverage,-0.003386084499590117,-0.007178274983322995,0.000444173393838952,8
dsads,APS,restricted_b4,shortfall,0.003717401177632044,0.0001358945853834863,0.007219489406870485,8
dsads,APS,restricted_b4,size_fraction,-0.0010924156561014642,-0.00411992498639365,0.002688962769074635,8
dsads,APS,restricted_b8,saving,0.22167607592866742,0.19418142954210488,0.2507067572177927,8
dsads,APS,restricted_b8,coverage,-0.009565379876805655,-0.012643061381354272,-0.0064561323320762865,8
dsads,APS,restricted_b8,shortfall,0.00997635738199465,0.006934428960571762,0.013065779188310455,8
dsads,APS,restricted_b8,size_fraction,-0.0035846848616797947,-0.0059787301354618455,-0.0008511266120464403,8
dsads,APS,fixed_50,saving,0.0023798643647045606,-0.024717809818578424,0.029954655101152097,8
dsads,APS,fixed_50,coverage,0.00711641147863136,0.0029911873479775645,0.011167003419361296,8
dsads,APS,fixed_50,shortfall,-0.005740394772233997,-0.009173675677064716,-0.0023687007928151716,8
dsads,APS,fixed_50,size_fraction,0.008295138982864408,0.004139860725292907,0.013660257963010123,8
dsads,APS,variance_save,saving,0.09948306616445922,0.07374752440736472,0.1289684616636158,8
dsads,APS,variance_save,coverage,-0.01087502028001873,-0.013316679085994638,-0.00857568414556728,8
dsads,APS,variance_save,shortfall,0.012701483578155863,0.00954228056640655,0.015908833672600414,8
dsads,APS,variance_save,size_fraction,0.0005202567274268655,-0.002786857495155453,0.004485853145473757,8
dsads,APS,matched_b4,saving,-0.003955805724123726,-0.004315100491966033,-0.003631786998737945,8
dsads,APS,matched_b4,coverage,-0.00161791212334228,-0.007149280544605107,0.004805581469343401,8
dsads,APS,matched_b4,shortfall,0.00139885771010031,-0.0034616284950482867,0.006088528656739502,8
dsads,APS,matched_b4,size_fraction,-0.0019185089865428537,-0.008210136005266351,0.006225196767107765,8
dsads,APS,matched_b8,saving,-0.004850151695797535,-0.005841958933713173,-0.0038916305360906403,8
dsads,APS,matched_b8,coverage,-0.014911964039156164,-0.01672342834988468,-0.013360630701999538,8
dsads,APS,matched_b8,shortfall,0.012726287884929747,0.010309641580695597,0.015332529603499352,8
dsads,APS,matched_b8,size_fraction,-0.016458352876810363,-0.021847705308260894,-0.011904170062081608,8
dsads,LAC,full_reference,saving,0.4449162371255935,0.41137150558857805,0.4775261498206572,8
dsads,LAC,full_reference,coverage,-0.00525020688739207,-0.008765508367922765,-0.002277843052590295,8
dsads,LAC,full_reference,shortfall,0.006051520955935748,0.00355279197134051,0.008719339903974018,8
dsads,LAC,full_reference,size_fraction,0.0036211964693741577,-0.005656575879576284,0.013991160600576666,8
dsads,LAC,deterministic,saving,0.2743772045654578,0.24793078457608927,0.3025733886856495,8
dsads,LAC,deterministic,coverage,-0.007163764925281868,-0.010254136468224637,-0.004614124579541773,8
dsads,LAC,deterministic,shortfall,0.007566287418533217,0.005256651014204535,0.010437897441561319,8
dsads,LAC,deterministic,size_fraction,0.0035264768200589693,-0.0032223041482631574,0.009550249235161692,8
dsads,LAC,two_plan,saving,0.14643700452837163,0.13166352838716794,0.16130934506604927,8
dsads,LAC,two_plan,coverage,-0.004711364481425506,-0.007251432380389125,-0.0023205247724892575,8
dsads,LAC,two_plan,shortfall,0.005178483456281925,0.0031491741635320623,0.007401094941455517,8
dsads,LAC,two_plan,size_fraction,0.004403946933089691,-0.000173118926967801,0.010118607225668812,8
dsads,LAC,restricted_b4,saving,0.07240865328572917,0.05319536809342866,0.08974229546440729,8
dsads,LAC,restricted_b4,coverage,0.00014923999461617654,-0.0018986228873421566,0.002037703522192,8
dsads,LAC,restricted_b4,shortfall,-0.0006259523871459715,-0.0024309293936580177,0.0010698427865827042,8
dsads,LAC,restricted_b4,size_fraction,-0.004009374643499073,-0.009165856006054853,0.0012009901896896866,8
dsads,LAC,restricted_b8,saving,0.23359264517444678,0.19985851631968757,0.2692161760551558,8
dsads,LAC,restricted_b8,coverage,-0.010295500155793474,-0.011423665126672462,-0.00893326323102336,8
dsads,LAC,restricted_b8,shortfall,0.010003305619310959,0.00882133413535943,0.011359500918309371,8
dsads,LAC,restricted_b8,size_fraction,0.0001556412076230522,-0.002284464694582152,0.0034099099022372997,8
dsads,LAC,fixed_50,saving,-0.029862832075858943,-0.06325872463410351,0.0023371706380660145,8
dsads,LAC,fixed_50,coverage,0.012368846170600148,0.010193484392233504,0.014162226030152505,8
dsads,LAC,fixed_50,shortfall,-0.011626316215116885,-0.013080721026461822,-0.009980775594767741,8
dsads,LAC,fixed_50,size_fraction,0.006358722979935099,-0.0006103619193181239,0.01413911067017516,8
dsads,LAC,variance_save,saving,0.052619862579748086,0.029799258052676973,0.07447188855925381,8
dsads,LAC,variance_save,coverage,-0.018877812957689297,-0.021184408880872547,-0.016256216352755884,8
dsads,LAC,variance_save,shortfall,0.017203769524405534,0.015151038562743418,0.01927753552906441,8
dsads,LAC,variance_save,size_fraction,-0.0067405975441684855,-0.009760479898567445,-0.0032468519621234836,8
dsads,LAC,matched_b4,saving,-0.004319415221834502,-0.004545815436766228,-0.004055968194236145,8
dsads,LAC,matched_b4,coverage,0.0012567642078808727,-0.003849492710872829,0.00622988149337507,8
dsads,LAC,matched_b4,shortfall,-0.0020498740245710797,-0.0057911986620842034,0.0018840157187167972,8
dsads,LAC,matched_b4,size_fraction,-0.005092055444676322,-0.01388410999039813,0.0049178822596582395,8
dsads,LAC,matched_b8,saving,-0.005614823470545878,-0.006652354544208524,-0.004627191990966985,8
dsads,LAC,matched_b8,coverage,-0.018310131275184438,-0.02085212248364471,-0.01569781668450397,8
dsads,LAC,matched_b8,shortfall,0.014675586273309038,0.012647489311176579,0.017425530773586433,8
dsads,LAC,matched_b8,size_fraction,-0.02311637943539142,-0.02968603905421657,-0.01611345821451259,8
har,APS,full_reference,saving,0.5547957179574428,0.5448467618025652,0.5646511174742823,30
har,APS,full_reference,coverage,-0.004768617207541951,-0.007399106095734325,-0.002174563537344176,30
har,APS,full_reference,shortfall,0.008229080975291816,0.006190774174895686,0.010278678836477352,30
har,APS,full_reference,size_fraction,0.003525919516131715,0.001563835853662163,0.00540443083721531,30
har,APS,deterministic,saving,0.16341486319975948,0.1583425521109436,0.16816014203950652,30
har,APS,deterministic,coverage,-0.0036983628700295776,-0.004959852507184824,-0.0023563003175686333,30
har,APS,deterministic,shortfall,0.005065213587793745,0.004036957438065656,0.0060858679861482586,30
har,APS,deterministic,size_fraction,0.0011379143314085313,0.00016319820412437878,0.0021141794121335732,30
har,APS,two_plan,saving,0.07276016699462755,0.07027433663479522,0.07524002038026188,30
har,APS,two_plan,coverage,-0.0012902654763733978,-0.0017684965618263554,-0.0007938505826907712,30
har,APS,two_plan,shortfall,0.0020373811837854643,0.0015959437545234366,0.002473246187408443,30
har,APS,two_plan,size_fraction,0.0007811618696021168,0.00037034769312065395,0.0011850705024427323,30
har,APS,restricted_b4,saving,0.09798278509129932,0.09070973777972442,0.10530442567117011,30
