dataset,model,accuracy,macro_f1
dsads,IT,0.5591008771929824,0.5117946803657076
dsads,LR,0.5140350877192983,0.4690083969588961
dsads,MR,0.6646381578947369,0.6292343457850815
har,IT,0.8852397613547485,0.882556950826051
har,LR,0.8773289830502011,0.8685767701103411
har,MR,0.9161842069705952,0.9160309976136661
mhealth,IT,0.7755941634918065,0.7515679853650197
mhealth,LR,0.7975714438071584,0.7727159828730003
mhealth,MR,0.8689523647335979,0.8557583957800844
pamap2,IT,0.649193684524867,0.5662675284469676
pamap2,LR,0.6676476065890992,0.567347833904302
pamap2,MR,0.7040966462572973,0.6149295989598886
realdisp,IT,0.7076607477474411,0.621552183158966
realdisp,LR,0.6915099013390209,0.6057978598865824
realdisp,MR,0.7866018494252884,0.7132914923578502
wisdm,IT,0.2678105575075603,0.23026869669486644
wisdm,LR,0.31066985177260015,0.2650462608942488
wisdm,MR,0.3300882785526842,0.30206316184070464
