dataset,score,policy,sum,count,mean
dsads,APS,deterministic,0,144,0.0
dsads,APS,drop_coverage,105,144,0.7291666666666666
dsads,APS,drop_shortfall,75,144,0.5208333333333334
dsads,APS,drop_size,139,144,0.9652777777777778
dsads,APS,fixed_25,130,144,0.9027777777777778
dsads,APS,fixed_50,91,144,0.6319444444444444
dsads,APS,fixed_75,25,144,0.1736111111111111
dsads,APS,full_b1,141,144,0.9791666666666666
dsads,APS,full_b2,138,141,0.9787234042553191
dsads,APS,full_b4,0,138,0.0
dsads,APS,full_b8,26,132,0.19696969696969696
dsads,APS,full_reference,0,144,0.0
dsads,APS,kappa0,137,144,0.9513888888888888
dsads,APS,kappa05,111,144,0.7708333333333334
dsads,APS,kappa2,24,144,0.16666666666666666
dsads,APS,matched_b1,144,144,1.0
dsads,APS,matched_b2,143,144,0.9930555555555556
dsads,APS,matched_b4,109,144,0.7569444444444444
dsads,APS,matched_b8,111,144,0.7708333333333334
dsads,APS,random_planning,80,144,0.5555555555555556
dsads,APS,restricted_b1,136,144,0.9444444444444444
dsads,APS,restricted_b4,29,144,0.2013888888888889
dsads,APS,restricted_b8,49,144,0.3402777777777778
dsads,APS,sparse,70,144,0.4861111111111111
dsads,APS,two_plan,30,144,0.20833333333333334
dsads,APS,variance_save,53,144,0.3680555555555556
dsads,LAC,deterministic,11,144,0.0763888888888889
dsads,LAC,drop_coverage,113,144,0.7847222222222222
dsads,LAC,drop_shortfall,93,144,0.6458333333333334
dsads,LAC,drop_size,131,144,0.9097222222222222
dsads,LAC,fixed_25,141,144,0.9791666666666666
dsads,LAC,fixed_50,114,144,0.7916666666666666
dsads,LAC,fixed_75,39,144,0.2708333333333333
dsads,LAC,full_b1,141,144,0.9791666666666666
dsads,LAC,full_b2,131,141,0.9290780141843972
dsads,LAC,full_b4,0,138,0.0
dsads,LAC,full_b8,85,132,0.6439393939393939
dsads,LAC,full_reference,0,144,0.0
dsads,LAC,kappa0,136,144,0.9444444444444444
dsads,LAC,kappa05,128,144,0.8888888888888888
dsads,LAC,kappa2,22,144,0.1527777777777778
dsads,LAC,matched_b1,144,144,1.0
dsads,LAC,matched_b2,141,144,0.9791666666666666
dsads,LAC,matched_b4,134,144,0.9305555555555556
dsads,LAC,matched_b8,125,144,0.8680555555555556
dsads,LAC,random_planning,87,144,0.6041666666666666
dsads,LAC,restricted_b1,102,144,0.7083333333333334
dsads,LAC,restricted_b4,66,144,0.4583333333333333
dsads,LAC,restricted_b8,32,144,0.2222222222222222
dsads,LAC,sparse,88,144,0.6111111111111112
dsads,LAC,two_plan,26,144,0.18055555555555555
dsads,LAC,variance_save,84,144,0.5833333333333334
har,APS,deterministic,16,144,0.1111111111111111
har,APS,drop_coverage,88,144,0.6111111111111112
har,APS,drop_shortfall,93,144,0.6458333333333334
har,APS,drop_size,109,144,0.7569444444444444
har,APS,fixed_25,123,144,0.8541666666666666
har,APS,fixed_50,74,144,0.5138888888888888
har,APS,fixed_75,50,144,0.3472222222222222
har,APS,full_b1,95,144,0.6597222222222222
har,APS,full_b2,67,141,0.475177304964539
har,APS,full_b4,0,138,0.0
har,APS,full_b8,61,132,0.4621212121212121
har,APS,full_reference,0,144,0.0
har,APS,kappa0,138,144,0.9583333333333334
har,APS,kappa05,115,144,0.7986111111111112
har,APS,kappa2,8,144,0.05555555555555555
har,APS,matched_b1,121,144,0.8402777777777778
har,APS,matched_b2,118,144,0.8194444444444444
har,APS,matched_b4,111,144,0.7708333333333334
har,APS,matched_b8,121,144,0.8402777777777778
har,APS,random_planning,96,144,0.6666666666666666
har,APS,restricted_b1,91,144,0.6319444444444444
har,APS,restricted_b4,36,144,0.25
har,APS,restricted_b8,33,144,0.22916666666666666
har,APS,sparse,74,144,0.5138888888888888
har,APS,two_plan,36,144,0.25
har,APS,variance_save,53,144,0.3680555555555556
har,LAC,deterministic,17,144,0.11805555555555555
har,LAC,drop_coverage,86,144,0.5972222222222222
har,LAC,drop_shortfall,76,144,0.5277777777777778
har,LAC,drop_size,114,144,0.7916666666666666
har,LAC,fixed_25,115,144,0.7986111111111112
har,LAC,fixed_50,75,144,0.5208333333333334
har,LAC,fixed_75,42,144,0.2916666666666667
har,LAC,full_b1,80,144,0.5555555555555556
har,LAC,full_b2,54,141,0.3829787234042553
har,LAC,full_b4,0,138,0.0
har,LAC,full_b8,17,132,0.12878787878787878
har,LAC,full_reference,0,144,0.0
har,LAC,kappa0,134,144,0.9305555555555556
har,LAC,kappa05,107,144,0.7430555555555556
har,LAC,kappa2,23,144,0.1597222222222222
har,LAC,matched_b1,128,144,0.8888888888888888
har,LAC,matched_b2,125,144,0.8680555555555556
har,LAC,matched_b4,98,144,0.6805555555555556
har,LAC,matched_b8,98,144,0.6805555555555556
har,LAC,random_planning,101,144,0.7013888888888888
har,LAC,restricted_b1,73,144,0.5069444444444444
har,LAC,restricted_b4,48,144,0.3333333333333333
har,LAC,restricted_b8,23,144,0.1597222222222222
har,LAC,sparse,67,144,0.4652777777777778
har,LAC,two_plan,45,144,0.3125
har,LAC,variance_save,29,144,0.2013888888888889
mhealth,APS,deterministic,17,144,0.11805555555555555
mhealth,APS,drop_coverage,102,144,0.7083333333333334
mhealth,APS,drop_shortfall,95,144,0.6597222222222222
mhealth,APS,drop_size,130,144,0.9027777777777778
mhealth,APS,fixed_25,131,144,0.9097222222222222
mhealth,APS,fixed_50,85,144,0.5902777777777778
mhealth,APS,fixed_75,55,144,0.3819444444444444
mhealth,APS,full_b1,64,144,0.4444444444444444
mhealth,APS,full_b2,35,141,0.24822695035460993
mhealth,APS,full_b4,0,138,0.0
mhealth,APS,full_b8,37,132,0.2803030303030303
mhealth,APS,full_reference,0,144,0.0
mhealth,APS,kappa0,136,144,0.9444444444444444
mhealth,APS,kappa05,105,144,0.7291666666666666
mhealth,APS,kappa2,43,144,0.2986111111111111
mhealth,APS,matched_b1,136,144,0.9444444444444444
mhealth,APS,matched_b2,121,144,0.8402777777777778
mhealth,APS,matched_b4,107,144,0.7430555555555556
mhealth,APS,matched_b8,116,144,0.8055555555555556
mhealth,APS,random_planning,117,144,0.8125
mhealth,APS,restricted_b1,86,144,0.5972222222222222
mhealth,APS,restricted_b4,63,144,0.4375
mhealth,APS,restricted_b8,50,144,0.3472222222222222
mhealth,APS,sparse,87,144,0.6041666666666666
mhealth,APS,two_plan,41,144,0.2847222222222222
mhealth,APS,variance_save,72,144,0.5
mhealth,LAC,deterministic,55,144,0.3819444444444444
mhealth,LAC,drop_coverage,126,144,0.875
mhealth,LAC,drop_shortfall,125,144,0.8680555555555556
mhealth,LAC,drop_size,133,144,0.9236111111111112
