dataset,score,draw,N,delta,mode,saving,containment_failure,inflation,inflation_exceeded
har,LAC,0,480,0.01,whole,0.7916666666666666,False,0.3076923076923077,False
har,LAC,0,480,0.05,whole,0.7916666666666666,False,0.12880143112701253,False
har,LAC,0,480,0.05,even_to_odd,0.7916666666666666,False,0.13237924865831843,False
har,LAC,0,480,0.1,whole,0.8333333333333334,False,0.12880143112701253,False
har,LAC,0,480,0.2,whole,0.8333333333333334,False,0.12880143112701253,False
har,LAC,1,480,0.01,whole,0.7916666666666666,False,0.21377459749552774,False
har,LAC,1,480,0.05,whole,0.8333333333333334,False,0.3094812164579606,False
har,LAC,1,480,0.05,even_to_odd,0.8333333333333334,False,0.3041144901610018,False
har,LAC,1,480,0.1,whole,0.8333333333333334,False,0.21377459749552774,False
har,LAC,1,480,0.2,whole,0.875,False,0.21377459749552774,False
har,LAC,2,480,0.01,whole,0.7916666666666666,False,0.3613595706618962,False
har,LAC,2,480,0.05,whole,0.875,False,0.12880143112701253,False
har,LAC,2,480,0.05,even_to_odd,0.875,False,0.13237924865831843,False
har,LAC,2,480,0.1,whole,0.875,False,0.12880143112701253,False
har,LAC,2,480,0.2,whole,0.9166666666666666,False,0.12880143112701253,False
har,LAC,3,480,0.01,whole,0.75,False,0.389087656529517,False
har,LAC,3,480,0.05,whole,0.75,False,0.33184257602862255,False
har,LAC,3,480,0.05,even_to_odd,0.75,False,0.33094812164579607,False
har,LAC,3,480,0.1,whole,0.75,False,0.24508050089445438,False
har,LAC,3,480,0.2,whole,0.7916666666666666,False,0.24508050089445438,False
har,LAC,4,480,0.01,whole,0.75,False,0.4400715563506261,False
har,LAC,4,480,0.05,whole,0.7916666666666666,False,0.4400715563506261,False
har,LAC,4,480,0.05,even_to_odd,0.7916666666666666,False,0.43828264758497315,False
har,LAC,4,480,0.1,whole,0.7916666666666666,False,0.4400715563506261,False
har,LAC,4,480,0.2,whole,0.7916666666666666,False,0.43828264758497315,False
har,LAC,5,480,0.01,whole,0.7916666666666666,False,0.334525939177102,False
har,LAC,5,480,0.05,whole,0.8333333333333334,False,0.334525939177102,False
har,LAC,5,480,0.05,even_to_odd,0.8333333333333334,False,0.33810375670840787,False
har,LAC,5,480,0.1,whole,0.8333333333333334,False,0.32379248658318427,False
har,LAC,5,480,0.2,whole,0.9166666666666666,False,0.12343470483005367,False
har,LAC,6,480,0.01,whole,0.7916666666666666,False,0.1520572450805009,False
har,LAC,6,480,0.05,whole,0.875,False,0.1779964221824687,False
har,LAC,6,480,0.05,even_to_odd,0.875,False,0.17889087656529518,False
har,LAC,6,480,0.1,whole,0.875,False,0.1779964221824687,False
har,LAC,6,480,0.2,whole,0.9166666666666666,False,0.1779964221824687,False
har,LAC,7,480,0.01,whole,0.8333333333333334,False,0.22093023255813954,False
har,LAC,7,480,0.05,whole,0.875,False,0.22093023255813954,False
har,LAC,7,480,0.05,even_to_odd,0.875,False,0.22003577817531306,False
har,LAC,7,480,0.1,whole,0.875,False,0.22093023255813954,False
har,LAC,7,480,0.2,whole,0.9166666666666666,False,0.1547406082289803,False
har,LAC,8,480,0.01,whole,0.8333333333333334,False,0.24955277280858676,False
har,LAC,8,480,0.05,whole,0.875,False,0.22719141323792486,False
har,LAC,8,480,0.05,even_to_odd,0.875,False,0.22898032200357782,False
har,LAC,8,480,0.1,whole,0.875,False,0.22719141323792486,False
har,LAC,8,480,0.2,whole,0.9166666666666666,False,0.22719141323792486,False
har,LAC,9,480,0.01,whole,0.75,False,0.3998211091234347,False
har,LAC,9,480,0.05,whole,0.7916666666666666,False,0.33810375670840787,False
har,LAC,9,480,0.05,even_to_odd,0.7916666666666666,False,0.34525939177101966,False
har,LAC,9,480,0.1,whole,0.7916666666666666,False,0.33810375670840787,False
har,LAC,9,480,0.2,whole,0.8333333333333334,False,0.3998211091234347,False
har,LAC,10,480,0.01,whole,0.7916666666666666,False,0.3425760286225403,False
har,LAC,10,480,0.05,whole,0.8333333333333334,False,0.3881932021466905,False
har,LAC,10,480,0.05,even_to_odd,0.8333333333333334,False,0.39713774597495527,False
har,LAC,10,480,0.1,whole,0.8333333333333334,False,0.3425760286225403,False
har,LAC,10,480,0.2,whole,0.875,False,0.3425760286225403,False
har,LAC,11,480,0.01,whole,0.7916666666666666,False,0.26744186046511625,False
har,LAC,11,480,0.05,whole,0.8333333333333334,False,0.40518783542039355,False
har,LAC,11,480,0.05,even_to_odd,0.8333333333333334,False,0.40250447227191416,False
har,LAC,11,480,0.1,whole,0.8333333333333334,False,0.26744186046511625,False
har,LAC,11,480,0.2,whole,0.875,False,0.40518783542039355,False
har,LAC,12,480,0.01,whole,0.7916666666666666,False,0.34615384615384615,False
har,LAC,12,480,0.05,whole,0.7916666666666666,False,0.3372093023255814,False
har,LAC,12,480,0.05,even_to_odd,0.7916666666666666,False,0.3363148479427549,False
har,LAC,12,480,0.1,whole,0.8333333333333334,False,0.34615384615384615,False
har,LAC,12,480,0.2,whole,0.8333333333333334,False,0.34615384615384615,False
har,LAC,13,480,0.01,whole,0.8333333333333334,False,0.387298747763864,False
har,LAC,13,480,0.05,whole,0.875,False,0.387298747763864,False
har,LAC,13,480,0.05,even_to_odd,0.875,False,0.3810375670840787,False
har,LAC,13,480,0.1,whole,0.875,False,0.387298747763864,False
har,LAC,13,480,0.2,whole,0.875,False,0.3631484794275492,False
har,LAC,14,480,0.01,whole,0.7916666666666666,False,0.2513416815742397,False
har,LAC,14,480,0.05,whole,0.8333333333333334,False,0.2513416815742397,False
har,LAC,14,480,0.05,even_to_odd,0.8333333333333334,False,0.24686940966010734,False
har,LAC,14,480,0.1,whole,0.8333333333333334,False,0.1967799642218247,False
har,LAC,14,480,0.2,whole,0.875,False,0.2513416815742397,False
har,LAC,15,480,0.01,whole,0.7916666666666666,False,0.29159212880143115,False
har,LAC,15,480,0.05,whole,0.8333333333333334,False,0.29159212880143115,False
har,LAC,15,480,0.05,even_to_odd,0.8333333333333334,False,0.29159212880143115,False
har,LAC,15,480,0.1,whole,0.8333333333333334,False,0.2146690518783542,False
har,LAC,15,480,0.2,whole,0.9166666666666666,False,0.2146690518783542,False
har,LAC,16,480,0.01,whole,0.7916666666666666,False,0.24150268336314848,False
har,LAC,16,480,0.05,whole,0.8333333333333334,False,0.24150268336314848,False
har,LAC,16,480,0.05,even_to_odd,0.8333333333333334,False,0.24686940966010734,False
har,LAC,16,480,0.1,whole,0.8333333333333334,False,0.1967799642218247,False
har,LAC,16,480,0.2,whole,0.9166666666666666,False,0.24150268336314848,False
har,LAC,17,480,0.01,whole,0.75,False,0.24776386404293382,False
har,LAC,17,480,0.05,whole,0.8333333333333334,False,0.24776386404293382,False
har,LAC,17,480,0.05,even_to_odd,0.8333333333333334,False,0.24150268336314848,False
har,LAC,17,480,0.1,whole,0.8333333333333334,False,0.23524150268336314,False
har,LAC,17,480,0.2,whole,0.875,False,0.24776386404293382,False
har,LAC,18,480,0.01,whole,0.8333333333333334,False,0.34525939177101966,False
har,LAC,18,480,0.05,whole,0.875,False,0.34525939177101966,False
har,LAC,18,480,0.05,even_to_odd,0.875,False,0.3542039355992844,False
har,LAC,18,480,0.1,whole,0.875,False,0.34525939177101966,False
har,LAC,18,480,0.2,whole,0.9166666666666666,False,0.34525939177101966,False
har,LAC,19,480,0.01,whole,0.7916666666666666,False,0.30143112701252234,False
har,LAC,19,480,0.05,whole,0.8333333333333334,False,0.30500894454382826,False
har,LAC,19,480,0.05,even_to_odd,0.8333333333333334,False,0.30590339892665475,False
har,LAC,19,480,0.1,whole,0.8333333333333334,False,0.30143112701252234,False
har,LAC,19,480,0.2,whole,0.875,False,0.30500894454382826,False
har,LAC,20,480,0.01,whole,0.7916666666666666,False,0.13864042933810375,False
har,LAC,20,480,0.05,whole,0.8333333333333334,False,0.25402504472271914,False
har,LAC,20,480,0.05,even_to_odd,0.8333333333333334,False,0.2522361359570662,False
har,LAC,20,480,0.1,whole,0.8333333333333334,False,0.13864042933810375,False
har,LAC,20,480,0.2,whole,0.9166666666666666,False,0.25402504472271914,False
har,LAC,21,480,0.01,whole,0.7083333333333333,False,0.4016100178890877,False
har,LAC,21,480,0.05,whole,0.7916666666666666,False,0.4016100178890877,False
har,LAC,21,480,0.05,even_to_odd,0.7916666666666666,False,0.40250447227191416,False
har,LAC,21,480,0.1,whole,0.8333333333333334,False,0.24776386404293382,False
har,LAC,21,480,0.2,whole,0.875,False,0.24776386404293382,False
har,LAC,22,480,0.01,whole,0.7916666666666666,False,0.38372093023255816,False
har,LAC,22,480,0.05,whole,0.875,False,0.38372093023255816,False
har,LAC,22,480,0.05,even_to_odd,0.875,False,0.3881932021466905,False
har,LAC,22,480,0.1,whole,0.875,False,0.38372093023255816,False
har,LAC,22,480,0.2,whole,0.875,False,0.36493738819320215,False
har,LAC,23,480,0.01,whole,0.8333333333333334,False,0.3962432915921288,False
har,LAC,23,480,0.05,whole,0.875,False,0.19499105545617174,False
har,LAC,23,480,0.05,even_to_odd,0.875,False,0.2003577817531306,False
har,LAC,23,480,0.1,whole,0.875,False,0.19499105545617174,False
har,LAC,23,480,0.2,whole,0.9166666666666666,False,0.19499105545617174,False
har,LAC,24,480,0.01,whole,0.75,False,0.34615384615384615,False
har,LAC,24,480,0.05,whole,0.7916666666666666,False,0.25760286225402507,False
har,LAC,24,480,0.05,even_to_odd,0.7916666666666666,False,0.24865831842576028,False
har,LAC,24,480,0.1,whole,0.8333333333333334,False,0.2558139534883721,False
har,LAC,24,480,0.2,whole,0.9166666666666666,False,0.15295169946332737,False
har,LAC,25,480,0.01,whole,0.7916666666666666,False,0.24329159212880144,False
har,LAC,25,480,0.05,whole,0.8333333333333334,False,0.24329159212880144,False
har,LAC,25,480,0.05,even_to_odd,0.8333333333333334,False,0.24150268336314848,False
har,LAC,25,480,0.1,whole,0.8333333333333334,False,0.24329159212880144,False
har,LAC,25,480,0.2,whole,0.875,False,0.06887298747763863,False
har,LAC,26,480,0.01,whole,0.7916666666666666,False,0.32379248658318427,False
har,LAC,26,480,0.05,whole,0.7916666666666666,False,0.29159212880143115,False
har,LAC,26,480,0.05,even_to_odd,0.7916666666666666,False,0.2826475849731664,False
har,LAC,26,480,0.1,whole,0.8333333333333334,False,0.32379248658318427,False
har,LAC,26,480,0.2,whole,0.8333333333333334,False,0.32379248658318427,False
har,LAC,27,480,0.01,whole,0.7916666666666666,False,0.3291592128801431,False
har,LAC,27,480,0.05,whole,0.8333333333333334,False,0.41055456171735244,False
har,LAC,27,480,0.05,even_to_odd,0.8333333333333334,False,0.407871198568873,False
har,LAC,27,480,0.1,whole,0.8333333333333334,False,0.3291592128801431,False
har,LAC,27,480,0.2,whole,0.9166666666666666,False,0.05008944543828265,False
har,LAC,28,480,0.01,whole,0.7916666666666666,False,0.1771019677996422,False
har,LAC,28,480,0.05,whole,0.875,False,0.20483005366726298,False
har,LAC,28,480,0.05,even_to_odd,0.875,False,0.20214669051878353,False
har,LAC,28,480,0.1,whole,0.875,False,0.20483005366726298,False
har,LAC,28,480,0.2,whole,0.9166666666666666,False,0.20483005366726298,False
har,LAC,29,480,0.01,whole,0.625,False,0.35062611806797855,False
har,LAC,29,480,0.05,whole,0.7083333333333333,False,0.4275491949910555,False
har,LAC,29,480,0.05,even_to_odd,0.6666666666666667,False,0.3613595706618962,False
har,LAC,29,480,0.1,whole,0.7083333333333333,False,0.4275491949910555,False
har,LAC,29,480,0.2,whole,0.7916666666666666,False,0.35062611806797855,False
har,LAC,30,480,0.01,whole,0.7916666666666666,False,0.3631484794275492,False
har,LAC,30,480,0.05,whole,0.7916666666666666,False,0.29338103756708406,False
har,LAC,30,480,0.05,even_to_odd,0.7916666666666666,False,0.295169946332737,False
har,LAC,30,480,0.1,whole,0.7916666666666666,False,0.29338103756708406,False
har,LAC,30,480,0.2,whole,0.8333333333333334,False,0.3631484794275492,False
har,LAC,31,480,0.01,whole,0.8333333333333334,False,0.40250447227191416,False
har,LAC,31,480,0.05,whole,0.875,False,0.40250447227191416,False
har,LAC,31,480,0.05,even_to_odd,0.875,False,0.3953488372093023,False
har,LAC,31,480,0.1,whole,0.875,False,0.40250447227191416,False
har,LAC,31,480,0.2,whole,0.9166666666666666,False,0.40250447227191416,False
har,LAC,32,480,0.01,whole,0.8333333333333334,False,0.29159212880143115,False
har,LAC,32,480,0.05,whole,0.875,False,0.11538461538461539,False
har,LAC,32,480,0.05,even_to_odd,0.875,False,0.10912343470483005,False
har,LAC,32,480,0.1,whole,0.875,False,0.11538461538461539,False
