dataset,model,score,policy,tolerance,coverage,set_size,shortfall,delta_coverage,delta_size,delta_shortfall,queried,saving
dsads,IT,APS,fixed_25,0.5,0.8808028371710526,10.255633908991229,0.04257812499999997,0.004788582785087704,0.32145319353070173,0.0006273985745613892,67.5,0.7500000000000004
dsads,IT,APS,fixed_50,0.5,0.8782719983552632,10.068980263157895,0.04220017817982454,0.0022577439692982267,0.1347995476973684,0.00024945175438597023,135.0,0.5000000000000002
dsads,IT,APS,fixed_75,0.5,0.8767845394736842,9.980734649122807,0.042055921052631555,0.0007702850877192821,0.04655393366228067,0.00010519462719298597,202.5,0.2500000000000001
dsads,IT,APS,full_reference,0.5,0.8760142543859648,9.934180715460526,0.04195072642543857,0.0,0.0,0.0,270.0,0.0
dsads,IT,APS,horizon,0.1,0.8760810718201754,9.935660293311404,0.04193153782894733,6.681743421052159e-05,0.0014795778508771842,-1.918859649122489e-05,269.515625,0.0015407986111110907
dsads,IT,APS,horizon,0.25,0.8762455455043859,9.943316885964913,0.04181743421052629,0.00023129111842102812,0.009136170504385945,-0.000133292214912266,268.3125,0.005164930555555525
dsads,IT,APS,horizon,0.5,0.8772950932017543,9.98351596765351,0.041080386513157874,0.0012808388157894391,0.049335252192982425,-0.0008703399122806735,264.265625,0.0180772569444444
dsads,IT,APS,horizon,1.0,0.8830174067982456,10.213497807017543,0.03782140899122805,0.007003152412280654,0.2793170915570175,-0.004129317434210489,246.828125,0.07508680555555551
dsads,IT,APS,hypergeom,0.1,0.8760807291666666,9.935038719846492,0.04192948190789471,6.647478070175047e-05,0.0008580043859649062,-2.1244517543856385e-05,269.890625,0.0003255208333333219
dsads,IT,APS,hypergeom,0.25,0.8761252741228069,9.937324561403509,0.04189247532894733,0.00011101973684209467,0.0031438459429824405,-5.8251096491219334e-05,269.4375,0.001649305555555528
dsads,IT,APS,hypergeom,0.5,0.8768756853070175,9.968757881030701,0.04136273300438594,0.0008614309210525987,0.03457716557017541,-0.0005879934210525968,266.96875,0.009570312499999971
dsads,IT,APS,hypergeom,1.0,0.8824379797149122,10.191033785635964,0.038133908991228045,0.006423725328947327,0.25685307017543857,-0.0038168174342104936,254.1875,0.05188802083333329
dsads,IT,APS,martingale,0.1,0.8760142543859648,9.934180715460526,0.04195072642543857,0.0,0.0,0.0,270.0,0.0
dsads,IT,APS,martingale,0.25,0.8760255619517543,9.93545504385965,0.041939418859649094,1.1307565789472379e-05,0.001274328399122803,-1.1307565789472379e-05,269.796875,0.0005859374999999968
dsads,IT,APS,martingale,0.5,0.8763843201754385,9.950465323464911,0.04167146381578945,0.0003700657894736627,0.01628460800438593,-0.00027926260964910313,268.8125,0.0034288194444444158
dsads,IT,APS,martingale,1.0,0.8807740542763157,10.120546532346491,0.03919613486842104,0.004759799890350836,0.1863658168859649,-0.0027545915570175144,261.9375,0.023849826388888867
dsads,IT,APS,midpoint,0.5,0.87625,9.946616639254387,0.041785224780701735,0.0002357456140350719,0.012435923793859618,-0.00016550164473682778,264.265625,0.0180772569444444
dsads,IT,APS,no_intersection,0.5,0.8768379934210526,9.96639220120614,0.041350054824561375,0.0008237390350876909,0.03221148574561401,-0.0006006716008771734,266.421875,0.010894097222222194
dsads,IT,APS,one_look_50,0.5,0.9248550575657895,12.254488418311404,0.020006167763157875,0.04884080317982451,2.320307702850877,-0.021944558662280674,135.0,0.5000000000000002
dsads,IT,APS,sparse_checks,0.5,0.8764902001096491,9.954030975877194,0.04165021929824559,0.00047594572368418747,0.019850260416666654,-0.0003005071271929692,267.1875,0.007899305555555527
dsads,IT,APS,uncorrected,0.5,0.8784227658991227,10.027942708333333,0.04059450383771928,0.0024085115131578607,0.09376199287280697,-0.0013562225877192797,251.75,0.05551215277777774
dsads,IT,LAC,fixed_25,0.5,0.8831736567982456,7.312799479166667,0.047904331140350864,0.004102933114035072,0.4427210115131579,-0.0020853892543859637,67.5,0.7500000000000004
dsads,IT,LAC,fixed_50,0.5,0.8813445723684211,7.050943667763158,0.04825863486842104,0.0022738486842105153,0.18086520010964913,-0.0017310855263157827,135.0,0.5000000000000002
dsads,IT,LAC,fixed_75,0.5,0.8799359237938597,6.942012404057017,0.0492478755482456,0.0008652001096491063,0.07193393640350876,-0.0007418448464912234,202.5,0.2500000000000001
dsads,IT,LAC,full_reference,0.5,0.8790707236842106,6.870078467653508,0.04998972039473683,0.0,0.0,0.0,270.0,0.0
dsads,IT,LAC,horizon,0.1,0.8790021929824562,6.866594024122807,0.05004146107456138,-6.853070175437673e-05,-0.0034844435307017467,5.174067982455497e-05,269.625,0.001453993055555525
dsads,IT,LAC,horizon,0.25,0.8790858004385965,6.869408922697368,0.04996607730263157,1.5076754385970598e-05,-0.0006695449561403483,-2.3643092105266966e-05,269.109375,0.002994791666666625
dsads,IT,LAC,horizon,0.5,0.879651521381579,6.897697368421053,0.049548382675438575,0.0005807976973683969,0.027618900767543825,-0.00044133771929823315,266.921875,0.009743923611111075
dsads,IT,LAC,horizon,1.0,0.8826058799342106,7.045622944078947,0.047305715460526296,0.0035351562499999576,0.17554447642543858,-0.0026840049342105017,256.765625,0.04275173611111106
