dataset,score,policy,tolerance,coverage,set_size,shortfall,delta_coverage,delta_size,delta_shortfall,queried,saving
dsads,APS,fixed_25,0.5,0.8909357867324562,7.671701503106725,0.031916917945906405,0.004522683662280686,0.28732113486842104,0.0006301398026315665,67.5,0.7500000000000004
dsads,APS,fixed_50,0.5,0.8881976425438597,7.488138706140351,0.03152378015350875,0.0017845394736841983,0.10375833790204676,0.0002370020102339146,135.0,0.5000000000000002
dsads,APS,fixed_75,0.5,0.8872497487207602,7.422551398026315,0.031180327119883017,0.0008366456505847843,0.03817102978801168,-0.00010645102339181049,202.5,0.2500000000000001
dsads,APS,full_reference,0.5,0.8864131030701755,7.384380368238304,0.03128677814327483,0.0,0.0,0.0,270.0,0.0
dsads,APS,horizon,0.1,0.8864064784356726,7.383561997441521,0.03132024396929822,-6.6246345029251074e-06,-0.0008183707967836291,3.346582602339271e-05,269.015625,0.003146701388888858
dsads,APS,horizon,0.25,0.8867987024853802,7.3968132081505855,0.031104029605263133,0.0003855994152046585,0.012432839912280677,-0.0001827485380116822,266.1458333333333,0.012174479166666636
dsads,APS,horizon,0.5,0.8893378792032164,7.468115405701755,0.029359694809941498,0.0029247761330409012,0.08373503746345028,-0.001927083333333307,255.72916666666666,0.04607204861111106
dsads,APS,horizon,1.0,0.8973108552631578,7.714649922331872,0.024356496710526296,0.01089775219298241,0.33026955409356723,-0.006930281432748506,227.01041666666666,0.14214409722222218
dsads,APS,hypergeom,0.1,0.8864657574926901,7.385350191885965,0.031262906615497056,5.2654422514616455e-05,0.0009698236476608104,-2.387152777777438e-05,269.7864583333333,0.0006293402777777624
dsads,APS,hypergeom,0.25,0.886733826754386,7.393516196089181,0.031123560855263133,0.0003207236842105072,0.009135827850877168,-0.00016321728801168322,268.3854166666667,0.0050130208333333025
dsads,APS,hypergeom,0.5,0.888905793128655,7.455385370979532,0.02965780336257308,0.0024926900584794956,0.07100500274122803,-0.0016289747807017266,261.1458333333333,0.028190104166666632
dsads,APS,hypergeom,1.0,0.8971716237207602,7.707834886695906,0.02438744974415202,0.010758520650584746,0.3234545184576023,-0.006899328399122775,238.0,0.1047887731481481
