dataset,score,baseline,metric,difference,ci_low,ci_high,subjects
dsads,LAC,hypergeom,coverage,0.00010907803362572577,-1.781798245614752e-05,0.00020936414930555614,8
dsads,LAC,hypergeom,set_size,0.008274625365497112,0.005338884320175485,0.011434461805555851,8
dsads,LAC,hypergeom,shortfall,-6.853070175442318e-06,-0.00017166940789473809,0.00018232307657162574,8
dsads,LAC,hypergeom,delta_coverage,0.00010907803362573317,-1.7817982456140946e-05,0.0002093641493055587,8
dsads,LAC,hypergeom,delta_size,0.008274625365497076,0.00533888432017544,0.011434461805555548,8
dsads,LAC,hypergeom,delta_shortfall,-6.853070175439492e-06,-0.00017166940789473584,0.00018232307657163754,8
dsads,LAC,hypergeom,queried,-4.4374999999999964,-5.041666666666661,-3.848958333333318,8
dsads,LAC,hypergeom,saving,0.014850983796296287,0.012843605324074067,0.016865596064814806,8
dsads,LAC,martingale,coverage,0.0011599963450292516,0.0007414793494152039,0.0016369700292397926,8
dsads,LAC,martingale,set_size,0.032107090643274605,0.027653737207602003,0.038001804641812735,8
dsads,LAC,martingale,shortfall,-0.0007635462353801219,-0.0013338358918128677,-0.0003298525447733933,8
dsads,LAC,martingale,delta_coverage,0.001159996345029233,0.0007414793494151918,0.0016369700292397666,8
dsads,LAC,martingale,delta_size,0.032107090643274855,0.02765373720760233,0.03800180464181286,8
dsads,LAC,martingale,delta_shortfall,-0.0007635462353801177,-0.0013338358918128677,-0.00032985254477339024,8
dsads,LAC,martingale,queried,-9.145833333333332,-10.684895833333343,-7.408854166666661,8
dsads,LAC,martingale,saving,0.03092447916666665,0.02495298032407406,0.03621238425925924,8
dsads,LAC,full_reference,coverage,0.00361465186403509,0.0019267406798245679,0.0054493672331871875,8
dsads,LAC,full_reference,set_size,0.07298942342836268,0.061403166118421115,0.08598352978801183,8
dsads,LAC,full_reference,shortfall,-0.0028022203947368467,-0.004713233278508778,-0.001056629203216376,8
dsads,LAC,full_reference,delta_coverage,0.0036146518640350588,0.0019267406798245293,0.00544936723318711,8
dsads,LAC,full_reference,delta_size,0.07298942342836254,0.061403166118421025,0.08598352978801167,8
dsads,LAC,full_reference,delta_shortfall,-0.002802220394736825,-0.004713233278508748,-0.0010566292032163642,8
dsads,LAC,full_reference,queried,-12.833333333333332,-15.401041666666664,-9.989583333333332,8
dsads,LAC,full_reference,saving,0.04191984953703699,0.03261700665509255,0.050271448206018476,8
dsads,LAC,fixed_25,coverage,0.0014317205774853625,-0.0007298034311038523,0.003763591922514603,8
dsads,LAC,fixed_25,set_size,-0.2885503472222223,-0.37901348056012446,-0.19299264437134506,8
dsads,LAC,fixed_25,shortfall,-0.003531158625730994,-0.006678334018640356,-0.0005422034904970833,8
dsads,LAC,fixed_25,delta_coverage,0.0014317205774853632,-0.00072980343110381,0.0037635919225145922,8
dsads,LAC,fixed_25,delta_size,-0.2885503472222222,-0.37901348056012424,-0.19299264437134503,8
dsads,LAC,fixed_25,delta_shortfall,-0.003531158625730968,-0.006678334018640308,-0.0005422034904970671,8
dsads,LAC,fixed_25,queried,189.66666666666669,187.09895833333334,192.51041666666669,8
dsads,LAC,fixed_25,saving,-0.7080801504629635,-0.717382993344908,-0.699728551793982,8
dsads,LAC,fixed_50,coverage,0.0028576160453216704,0.0006426923428362642,0.00514278657255122,8
dsads,LAC,fixed_50,set_size,-0.047879545869883244,-0.09105911344115557,-0.0029038371482095287,8
dsads,LAC,fixed_50,shortfall,-0.0029798291301169543,-0.005776110197368414,-0.0005960229349415197,8
dsads,LAC,fixed_50,delta_coverage,0.002857616045321615,0.0006426923428362387,0.005142786572551146,8
dsads,LAC,fixed_50,delta_size,-0.047879545869883064,-0.09105911344115494,-0.002903837148209105,8
dsads,LAC,fixed_50,delta_shortfall,-0.0029798291301169335,-0.0057761101973683796,-0.0005960229349414999,8
dsads,LAC,fixed_50,queried,122.16666666666666,119.59895833333333,125.01041666666666,8
dsads,LAC,fixed_50,saving,-0.45808015046296324,-0.4673829933449076,-0.44972855179398175,8
dsads,LAC,fixed_75,coverage,0.0034762198464912547,0.0016092093841374605,0.005634251644736868,8
dsads,LAC,fixed_75,set_size,0.028872555738304106,0.003585791872258618,0.05135563436586238,8
dsads,LAC,fixed_75,shortfall,-0.0029665798611111143,-0.00544210012335526,-0.0009516344572368388,8
dsads,LAC,fixed_75,delta_coverage,0.003476219846491214,0.001609209384137419,0.005634251644736818,8
dsads,LAC,fixed_75,delta_size,0.02887255573830408,0.0035857918722587497,0.05135563436586254,8
dsads,LAC,fixed_75,delta_shortfall,-0.002966579861111094,-0.0054421001233552375,-0.0009516344572368268,8
dsads,LAC,fixed_75,queried,54.66666666666667,52.098958333333336,57.51041666666667,8
dsads,LAC,fixed_75,saving,-0.20808015046296313,-0.21738299334490757,-0.19972855179398163,8
dsads,LAC,one_look_50,coverage,-0.03837148209064327,-0.054405381944444414,-0.02622795595760237,8
dsads,LAC,one_look_50,set_size,-2.3320984100877196,-2.544757421303911,-2.122861410932931,8
dsads,LAC,one_look_50,shortfall,0.020684621710526308,0.008902432268823094,0.034013432017543845,8
