dataset,method,saving,threshold_failure,bracket_failure
dsads,"CS(0.5,0.5)",0.011234085648148151,0.0015624999999999999,0.003125
dsads,"CS(1,1)",0.010995370370370372,0.0005208333333333333,0.0026041666666666665
dsads,"CS(1.8,0.2)",0.0209056712962963,0.014583333333333334,0.015625
dsads,"CS(9,1)",0.018221932870370373,0.0026041666666666665,0.0046875
dsads,JRC,0.04191984953703704,0.015625,0.0296875
har,"CS(0.5,0.5)",0.6084982638888888,0.00125,0.0022916666666666667
har,"CS(1,1)",0.5897135416666667,0.0,0.00125
har,"CS(1.8,0.2)",0.6688932291666667,0.0060416666666666665,0.007083333333333333
har,"CS(9,1)",0.6484027777777778,0.0020833333333333333,0.003125
har,JRC,0.7162456597222222,0.004583333333333333,0.013541666666666667
mhealth,"CS(0.5,0.5)",0.3206076388888889,0.0010416666666666667,0.00125
mhealth,"CS(1,1)",0.3091666666666667,0.0,0.0008333333333333335
mhealth,"CS(1.8,0.2)",0.3657986111111111,0.006874999999999999,0.007083333333333333
mhealth,"CS(9,1)",0.36505208333333333,0.0014583333333333334,0.0020833333333333333
mhealth,JRC,0.4516840277777778,0.011041666666666667,0.022083333333333333
pamap2,"CS(0.5,0.5)",0.06949074074074074,0.0011458333333333333,0.001979166666666667
pamap2,"CS(1,1)",0.06769386574074074,0.0004166666666666667,0.0012500000000000002
pamap2,"CS(1.8,0.2)",0.09243634259259259,0.009895833333333333,0.010520833333333333
pamap2,"CS(9,1)",0.09195023148148149,0.0020833333333333337,0.0030208333333333337
pamap2,JRC,0.16195023148148147,0.0190625,0.03635416666666667
realdisp,"CS(0.5,0.5)",0.09161921296296296,0.0021666666666666666,0.0025833333333333333
realdisp,"CS(1,1)",0.08819675925925925,0.0005833333333333334,0.0015000000000000002
realdisp,"CS(1.8,0.2)",0.10864236111111111,0.0105,0.011000000000000001
realdisp,"CS(9,1)",0.11725231481481481,0.004666666666666667,0.006
realdisp,JRC,0.18562268518518518,0.020833333333333332,0.03816666666666667
uschad,"CS(0.5,0.5)",0.12014880952380953,0.0013095238095238095,0.0022619047619047623
uschad,"CS(1,1)",0.11739583333333334,0.00023809523809523815,0.0016071428571428573
uschad,"CS(1.8,0.2)",0.14222718253968253,0.012023809523809523,0.013035714285714288
uschad,"CS(9,1)",0.15331349206349204,0.0037500000000000003,0.005714285714285714
uschad,JRC,0.23668650793650794,0.020416666666666666,0.03595238095238095
wisdm,"CS(0.5,0.5)",0.02531190427559913,0.0016748366013071897,0.0023080065359477125
wisdm,"CS(1,1)",0.024898726851851852,0.0006127450980392157,0.0014501633986928105
wisdm,"CS(1.8,0.2)",0.03022109885620915,0.009191176470588236,0.00982434640522876
wisdm,"CS(9,1)",0.03342864923747276,0.005412581699346406,0.007291666666666667
wisdm,JRC,0.06585648148148147,0.02005718954248366,0.03327205882352941
